,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,CFID,CFPARAMS,PLAYER_ID
3746,By Year,2019-20,-1,TOT,2020-08-11T00:00:00,28,14,14,0.5,14.3,2.0,5.0,0.393,1.0,2.6,0.375,0.2,0.2,1.0,0.3,1.6,1.9,3.0,1.1,0.8,0.1,0.3,1.3,0.6,5.1,3.3,13.3,1,0,12.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2019-20,1629185
3747,By Year,2019-20,1610612751,BKN,2020-08-11T00:00:00,18,12,6,0.667,15.5,2.5,5.9,0.425,1.1,3.1,0.357,0.3,0.3,1.0,0.5,1.6,2.1,3.1,1.3,0.6,0.1,0.2,1.4,0.8,6.4,2.3,14.4,1,0,14.1,3,2,4,2,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,2,4,4,1,1,1,2,1,1,1,1,264,2019-20,1629185
3748,By Year,2019-20,1610612764,WAS,2019-12-14T00:00:00,10,2,8,0.2,12.3,1.0,3.4,0.294,0.7,1.6,0.438,0.0,0.0,0.0,0.0,1.5,1.5,2.8,0.9,1.0,0.2,0.4,1.2,0.3,2.7,4.9,11.4,0,0,10.1,4,5,3,5,2,3,3,4,2,3,1,4,4,4,5,2,2,3,3,1,2,1,2,4,3,1,2,3,1,2,264,2019-20,1629185
3749,By Year,2018-19,1610612745,HOU,2019-04-07T00:00:00,7,6,1,0.857,4.6,0.3,1.1,0.25,0.3,0.7,0.4,0.0,0.0,0.0,0.1,0.4,0.6,0.6,0.1,0.1,0.1,0.1,0.3,0.1,0.9,-1.7,3.1,0,0,2.9,5,4,5,1,5,5,5,5,5,5,2,4,4,4,3,5,5,5,5,5,3,5,5,5,5,5,5,3,1,5,264,2018-19,1629185
3750,By Year,2021-22,1610612761,TOR,2022-04-10T00:00:00,80,48,32,0.6,21.1,3.4,7.2,0.464,0.9,2.9,0.297,1.9,2.4,0.777,2.2,3.9,6.2,0.3,0.5,0.6,0.9,0.5,2.2,2.2,9.4,2.4,21.4,10,0,19.9,1,1,2,4,2,2,2,3,2,2,4,2,2,4,1,2,2,3,2,1,3,2,2,2,2,1,2,2,1,2,264,2021-22,1628449
3751,By Year,2020-21,1610612761,TOR,2021-05-11T00:00:00,60,25,35,0.417,24.2,4.8,9.3,0.514,1.5,3.9,0.383,2.5,3.2,0.788,2.0,4.8,6.7,1.1,0.8,0.6,1.9,0.7,2.8,2.4,13.6,1.6,29.8,12,0,27.8,3,3,1,5,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,264,2020-21,1628449
3752,By Year,2019-20,1610612761,TOR,2020-08-14T00:00:00,62,45,17,0.726,13.2,2.3,4.8,0.472,0.6,1.9,0.322,1.5,1.9,0.784,1.7,2.7,4.5,0.4,0.5,0.4,1.0,0.3,1.8,1.5,6.6,1.6,16.2,5,0,14.8,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,1,3,264,2019-20,1628449
3753,By Year,2018-19,1610612761,TOR,2019-04-09T00:00:00,28,21,7,0.75,5.8,1.2,2.7,0.447,0.4,1.3,0.324,0.5,0.5,0.867,0.6,1.4,2.0,0.1,0.3,0.2,0.9,0.3,1.1,0.5,3.3,-0.5,8.8,1,0,8.0,4,4,4,2,4,4,4,4,4,4,2,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,264,2018-19,1628449
3754,By Year,2017-18,1610612744,GSW,2018-03-14T00:00:00,1,1,0,1.0,1.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.2,0,0,1.0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,264,2017-18,1628449
3755,By Year,2021-22,1610612758,SAC,2022-04-10T00:00:00,60,23,37,0.383,21.3,3.4,7.5,0.452,1.0,3.1,0.306,1.2,1.5,0.78,0.6,5.0,5.6,1.0,1.0,0.9,0.5,0.5,1.6,1.4,8.9,-2.6,20.2,6,0,19.2,1,1,1,4,1,1,1,3,1,1,2,1,1,1,3,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,264,2021-22,1629002
3756,By Year,2020-21,1610612758,SAC,2021-05-16T00:00:00,36,14,22,0.389,13.6,2.5,5.0,0.508,0.4,1.0,0.351,0.9,1.2,0.721,0.9,2.3,3.1,0.8,0.8,0.4,0.5,0.3,1.6,0.9,6.3,-1.6,13.0,0,0,12.3,2,2,2,3,2,2,2,2,2,2,1,2,2,4,1,2,2,2,2,2,2,2,1,2,2,3,2,2,1,2,264,2020-21,1629002
