,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,CFID,CFPARAMS,SEASON
43,1610612747,Los Angeles Lakers,72,42,30,0.583,48.5,17.4,13.3,13.3,49.9,16.6,11.3,12.2,48.2,1,8,8,8,4,12,10,11,7,16,2,16,19,10,Los Angeles Lakers,2020-21
44,1610612763,Memphis Grizzlies,72,38,34,0.528,48.3,18.5,15.0,17.3,55.8,16.6,12.4,13.7,47.5,1,15,15,15,11,3,1,1,1,15,12,26,16,10,Memphis Grizzlies,2020-21
45,1610612748,Miami Heat,72,40,32,0.556,48.3,17.7,10.1,11.9,44.4,16.7,12.3,10.4,41.3,1,13,13,13,16,10,30,16,23,17,10,1,1,10,Miami Heat,2020-21
46,1610612749,Milwaukee Bucks,72,46,26,0.639,48.1,16.3,13.2,14.5,48.8,15.9,13.0,10.7,43.1,1,7,7,7,22,16,12,4,12,12,14,3,3,10,Milwaukee Bucks,2020-21
47,1610612750,Minnesota Timberwolves,72,23,49,0.319,48.3,18.6,13.7,12.1,49.3,16.8,14.5,14.0,49.8,1,25,25,25,11,2,7,14,10,18,28,27,24,10,Minnesota Timberwolves,2020-21
48,1610612740,New Orleans Pelicans,72,31,41,0.431,48.4,15.3,14.9,14.1,54.4,18.3,11.9,13.0,46.7,1,21,21,21,6,22,2,8,2,29,7,20,9,10,New Orleans Pelicans,2020-21
49,1610612752,New York Knicks,72,41,31,0.569,48.4,15.1,12.4,8.9,44.0,15.0,12.2,10.5,43.8,1,11,11,11,6,23,22,30,26,5,9,2,4,10,New York Knicks,2020-21
50,1610612760,Oklahoma City Thunder,72,22,50,0.306,48.2,14.2,11.7,9.2,47.7,20.0,13.4,11.6,49.5,1,26,26,26,19,28,28,29,15,30,22,5,23,10,Oklahoma City Thunder,2020-21
51,1610612753,Orlando Magic,72,21,51,0.292,48.1,13.4,13.2,10.3,41.6,15.8,11.7,14.2,47.2,1,28,28,28,22,30,13,27,29,10,5,28,11,10,Orlando Magic,2020-21
52,1610612755,Philadelphia 76ers,72,49,23,0.681,48.4,18.1,13.9,15.2,47.3,17.2,11.6,14.3,46.0,1,3,3,3,6,4,5,3,17,22,4,29,8,10,Philadelphia 76ers,2020-21
53,1610612756,Phoenix Suns,72,51,21,0.708,48.6,16.1,12.9,13.1,45.3,14.8,12.4,12.0,47.4,1,2,2,2,1,18,17,12,22,4,13,13,15,10,Phoenix Suns,2020-21
54,1610612757,Portland Trail Blazers,72,42,30,0.583,48.1,14.9,14.6,11.6,39.3,14.1,13.8,13.7,47.3,1,8,8,8,24,24,3,19,30,1,24,24,14,10,Portland Trail Blazers,2020-21
55,1610612758,Sacramento Kings,72,31,41,0.431,48.1,16.4,12.2,14.1,53.3,17.0,14.0,12.6,53.4,1,21,21,21,24,15,25,7,4,21,26,18,29,10,Sacramento Kings,2020-21
56,1610612759,San Antonio Spurs,72,33,39,0.458,48.6,15.7,12.1,11.7,47.8,14.3,13.3,11.9,50.1,1,19,19,19,1,21,27,18,13,2,20,11,26,10,San Antonio Spurs,2020-21
57,1610612761,Toronto Raptors,72,27,45,0.375,48.1,18.6,12.5,13.7,43.6,15.6,13.9,11.6,42.9,1,24,24,24,24,1,21,9,27,8,25,5,2,10,Toronto Raptors,2020-21
58,1610612762,Utah Jazz,72,52,20,0.722,48.2,14.1,13.6,11.9,44.2,17.0,12.4,12.1,49.1,1,1,1,1,19,29,8,15,24,20,11,14,22,10,Utah Jazz,2020-21
59,1610612764,Washington Wizards,72,34,38,0.472,48.3,18.0,13.0,11.2,52.8,17.6,13.7,10.7,48.2,1,17,17,17,11,8,15,23,5,26,23,4,18,10,Washington Wizards,2020-21
