,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,SEASON
27,1610612761,Toronto Raptors,82,48,34,0.585,49.6,41.7,93.6,0.445,12.2,35.1,0.349,16.6,21.9,0.759,13.7,32.8,46.5,22.6,12.8,9.2,4.7,5.2,20.1,19.5,112.1,2.4,1,10,10,10,5,9,1,25,15,16,20,20,17,23,2,25,5,28,3,2,15,25,19,20,15,11,10,Toronto Raptors,2021-22
28,1610612762,Utah Jazz,82,49,33,0.598,49.2,41.5,88.2,0.471,14.9,41.3,0.36,18.3,23.9,0.767,11.0,36.4,47.4,22.9,14.3,7.3,5.0,4.4,19.3,20.8,116.2,6.2,1,9,9,9,8,11,18,6,1,1,11,4,4,20,7,1,3,27,22,17,9,9,11,6,1,3,10,Utah Jazz,2021-22
29,1610612764,Washington Wizards,82,35,47,0.427,49.1,41.2,87.3,0.472,10.6,31.1,0.342,17.2,22.0,0.783,9.1,34.6,43.8,25.4,13.3,6.5,5.0,4.3,19.1,20.2,110.2,-3.4,1,21,21,21,9,14,23,5,30,29,26,15,15,12,27,16,22,10,11,30,8,7,10,10,21,23,10,Washington Wizards,2021-22
30,1610612737,Atlanta Hawks,72,41,31,0.569,48.6,41.0,87.7,0.468,12.5,33.5,0.373,19.8,24.4,0.812,10.6,35.3,45.9,24.3,13.3,7.0,4.8,5.1,19.4,19.9,114.3,2.3,1,11,11,11,9,16,20,17,17,18,12,1,4,5,8,6,5,18,10,21,17,18,19,9,9,10,10,Atlanta Hawks,2020-21
31,1610612738,Boston Celtics,72,36,36,0.5,48.5,41.6,89.2,0.466,13.7,36.5,0.374,16.2,20.9,0.775,10.7,33.8,44.4,23.5,14.1,7.8,5.3,4.7,20.5,19.4,113.1,1.5,1,16,16,16,13,14,6,19,10,10,10,22,23,16,4,21,14,23,18,13,6,13,26,12,10,13,10,Boston Celtics,2020-21
32,1610612751,Brooklyn Nets,72,48,24,0.667,47.8,42.7,86.4,0.494,14.0,35.7,0.392,17.9,22.3,0.804,8.8,35.2,43.9,26.5,13.4,6.6,5.2,4.5,18.8,18.7,117.3,4.5,1,4,4,4,20,5,24,1,7,12,2,6,9,6,27,9,18,9,12,28,8,7,10,20,1,7,10,Brooklyn Nets,2020-21
33,1610612766,Charlotte Hornets,72,33,39,0.458,48.5,40.2,88.3,0.455,13.8,37.2,0.369,16.0,21.0,0.761,10.6,33.4,44.0,27.0,14.9,7.9,4.8,4.8,18.1,18.7,110.1,-1.9,1,19,19,19,12,21,16,22,9,7,14,24,21,21,5,24,17,3,25,9,16,16,6,19,23,23,10,Charlotte Hornets,2020-21
34,1610612741,Chicago Bulls,72,31,41,0.431,48.1,42.0,88.4,0.476,12.5,33.9,0.37,13.8,17.4,0.791,9.6,35.2,44.8,26.7,15.1,6.7,4.2,5.0,18.9,17.7,110.4,-0.9,1,21,21,21,18,8,15,9,16,17,13,30,30,11,19,7,11,6,27,27,27,17,11,29,21,20,10,Chicago Bulls,2020-21
35,1610612739,Cleveland Cavaliers,72,22,50,0.306,49.1,39.1,86.9,0.45,10.1,30.1,0.336,16.9,22.7,0.743,10.6,32.7,43.3,24.1,15.7,7.9,4.6,6.0,18.4,20.4,105.2,-8.6,1,26,26,26,5,26,22,25,28,26,30,15,7,26,9,25,21,21,29,11,19,30,7,7,28,28,10,Cleveland Cavaliers,2020-21
36,1610612742,Dallas Mavericks,72,42,30,0.583,49.0,41.9,89.0,0.47,14.1,38.9,0.362,16.8,21.6,0.778,9.3,34.9,44.2,23.3,12.3,6.4,4.4,3.7,19.8,20.5,114.6,2.3,1,8,8,8,6,11,9,13,6,5,18,16,15,15,21,11,16,25,3,30,23,2,22,6,8,11,10,Dallas Mavericks,2020-21
