,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,CFID,CFPARAMS,PLAYER_ID
299,By Year,2016-17,1610612746,LAC,2017-04-12T00:00:00,78,50,28,0.641,48.9,8.8,19.8,0.445,4.5,10.4,0.429,4.0,4.5,0.891,0.2,3.6,3.8,2.4,2.2,1.2,0.3,0.4,2.8,3.6,26.1,10.5,36.6,0,0,39.8,2,3,3,9,10,5,2,7,5,5,4,10,10,11,12,9,11,17,6,2,3,10,10,11,7,4,7,2,1,7,264,2016-17,200755
300,By Year,2015-16,1610612746,LAC,2016-04-12T00:00:00,75,50,25,0.667,48.9,9.8,20.5,0.48,4.7,9.8,0.475,4.2,4.8,0.888,0.2,3.0,3.2,2.5,1.8,1.0,0.1,0.5,3.2,4.5,28.6,11.9,37.7,0,0,41.2,5,3,6,5,9,1,1,1,3,7,1,9,7,12,14,15,16,16,14,4,12,6,7,4,1,2,4,2,1,2,264,2015-16,200755
301,By Year,2014-15,1610612746,LAC,2015-04-14T00:00:00,78,55,23,0.705,49.5,9.2,19.3,0.477,4.1,9.4,0.437,3.8,4.2,0.901,0.5,3.0,3.4,2.8,2.0,0.8,0.2,0.5,2.8,3.3,26.2,12.9,35.5,0,0,38.5,2,2,8,3,8,2,5,2,7,9,3,11,13,6,5,16,15,15,12,9,7,5,11,15,5,1,9,2,1,8,264,2014-15,200755
302,By Year,2013-14,1610612746,LAC,2014-04-15T00:00:00,35,24,11,0.686,48.7,8.9,19.6,0.455,3.6,9.1,0.395,4.8,5.2,0.915,0.4,3.2,3.7,3.8,2.1,1.4,0.1,0.4,3.2,3.8,26.3,10.5,38.9,0,0,40.4,13,11,16,4,11,3,4,4,10,11,12,2,4,3,6,13,13,7,8,1,10,12,6,8,3,5,2,2,1,5,264,2013-14,200755
303,By Year,2012-13,-1,TOT,2013-04-17T00:00:00,78,26,52,0.333,50.5,8.1,18.7,0.434,3.5,9.6,0.366,3.6,4.0,0.9,0.4,3.3,3.6,6.3,2.9,0.8,0.2,0.4,2.5,4.4,23.4,-2.0,37.2,0,0,38.8,1,1,1,2,1,1,1,1,2,2,2,1,1,2,1,2,2,1,1,1,2,2,2,1,1,2,1,1,1,1,264,2012-13,200755
304,By Year,2012-13,1610612749,MIL,2013-04-17T00:00:00,28,11,17,0.393,49.9,7.4,18.5,0.403,3.0,9.4,0.318,3.5,3.8,0.918,0.5,2.7,3.2,4.7,2.0,0.6,0.2,0.4,2.9,4.1,21.3,0.2,32.7,0,0,33.9,16,16,12,16,7,10,9,15,16,10,17,16,16,2,3,17,17,3,9,17,5,8,9,5,13,12,12,2,1,13,264,2012-13,200755
305,By Year,2012-13,1610612753,ORL,2013-02-20T00:00:00,50,15,35,0.3,50.9,8.5,18.8,0.45,3.8,9.7,0.39,3.7,4.2,0.891,0.3,3.6,3.8,7.1,3.4,0.9,0.2,0.5,2.3,4.6,24.4,-3.1,39.6,0,0,41.3,11,14,1,17,4,7,8,6,9,8,13,13,14,10,10,10,10,1,2,7,8,7,17,2,9,17,1,2,1,1,264,2012-13,200755
306,By Year,2011-12,1610612753,ORL,2012-04-25T00:00:00,65,37,28,0.569,52.7,7.4,17.4,0.425,3.3,8.0,0.418,4.3,4.7,0.911,0.5,3.9,4.5,4.9,2.0,0.8,0.2,0.5,2.7,4.0,22.4,0.8,36.1,0,0,37.1,7,8,3,12,1,11,11,12,11,14,6,8,9,4,2,4,2,2,10,8,6,4,12,6,10,11,8,2,1,9,264,2011-12,200755
307,By Year,2010-11,1610612753,ORL,2011-03-09T00:00:00,59,37,22,0.627,50.5,6.6,14.9,0.441,2.9,7.3,0.397,3.7,4.3,0.875,0.2,3.6,3.8,3.4,1.8,1.0,0.1,0.3,2.7,3.5,19.8,3.3,30.9,0,0,32.0,10,8,11,10,6,15,16,9,17,17,8,12,11,13,15,8,12,9,16,5,14,17,15,13,15,10,15,2,1,16,264,2010-11,200755
308,By Year,2009-10,1610612753,ORL,2010-04-14T00:00:00,82,59,23,0.72,50.9,6.8,15.6,0.439,3.1,7.7,0.405,5.4,6.3,0.86,0.5,3.9,4.4,4.5,1.8,0.8,0.1,0.4,3.3,5.0,22.2,5.0,35.1,0,0,36.0,1,1,8,2,3,13,15,11,13,15,7,1,1,15,4,5,3,5,15,10,13,11,4,1,11,9,10,2,1,10,264,2009-10,200755
309,By Year,2008-09,1610612753,ORL,2009-04-15T00:00:00,64,48,16,0.75,50.6,5.3,13.6,0.391,3.0,8.1,0.374,3.7,4.2,0.871,0.4,4.6,5.0,3.3,2.5,1.0,0.0,0.4,3.3,3.4,17.4,5.4,28.9,0,0,30.7,8,6,14,1,5,17,17,16,14,12,15,14,12,14,8,1,1,11,4,6,15,14,5,14,17,8,16,2,1,17,264,2008-09,200755
310,By Year,2007-08,1610612753,ORL,2008-04-16T00:00:00,34,22,12,0.647,48.6,8.5,19.0,0.444,3.0,7.6,0.395,4.8,6.0,0.794,0.2,3.9,4.0,2.8,2.6,0.7,0.0,1.2,5.1,3.7,24.6,-2.5,33.2,0,0,35.9,14,12,15,6,12,8,7,8,15,16,10,3,2,17,17,6,7,14,3,13,16,1,1,9,8,15,11,2,1,11,264,2007-08,200755
311,By Year,2006-07,1610612753,ORL,2007-04-18T00:00:00,42,19,23,0.452,51.3,6.6,16.1,0.41,3.1,8.1,0.388,4.5,4.9,0.9,0.8,3.5,4.3,3.0,1.7,1.0,0.0,0.3,4.3,3.1,20.8,0.0,31.6,0,0,33.1,12,13,8,13,2,14,14,13,12,13,14,5,5,7,1,12,5,13,17,3,16,15,2,17,14,13,14,2,1,14,264,2006-07,200755
312,By Year,2020-21,1610612751,BKN,2021-02-27T00:00:00,2,1,1,0.5,47.8,4.3,17.4,0.25,0.0,13.0,0.0,0.0,0.0,0.0,4.3,0.0,4.3,0.0,4.3,4.3,0.0,0.0,0.0,0.0,8.7,-4.3,22.6,0,0,21.7,12,12,12,10,9,9,2,12,12,1,12,12,12,12,1,12,12,12,1,1,12,12,12,12,12,10,12,3,1,12,264,2020-21,202697
313,By Year,2019-20,1610612751,BKN,2019-12-11T00:00:00,13,9,4,0.692,48.4,4.2,12.9,0.328,1.6,6.6,0.242,0.8,1.4,0.571,1.8,5.0,6.8,2.4,2.0,2.4,0.4,0.2,4.2,2.0,10.9,-10.5,29.1,0,0,27.4,11,9,11,4,8,10,8,11,9,7,11,10,10,10,5,7,6,11,8,6,7,11,7,10,10,12,9,3,1,9,264,2019-20,202697
314,By Year,2018-19,-1,TOT,2019-04-07T00:00:00,62,39,23,0.629,46.2,5.2,13.9,0.374,3.0,8.5,0.348,1.1,1.4,0.8,0.8,4.9,5.7,3.5,1.6,1.8,0.7,0.4,4.0,2.4,14.5,-1.4,32.8,0,0,31.9,1,1,2,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,264,2018-19,202697
315,By Year,2018-19,1610612745,HOU,2019-04-07T00:00:00,20,15,5,0.75,47.2,4.2,12.1,0.347,2.6,8.8,0.296,0.2,0.5,0.5,1.0,5.7,6.7,2.6,1.5,1.5,0.5,0.5,4.3,1.0,11.2,-0.4,27.6,0,0,27.1,9,8,9,2,11,11,10,10,3,2,8,11,11,11,11,5,8,10,12,12,6,6,6,11,9,7,10,3,1,10,264,2018-19,202697
316,By Year,2018-19,1610612758,SAC,2019-02-04T00:00:00,42,24,18,0.571,45.9,5.6,14.5,0.382,3.1,8.4,0.366,1.4,1.7,0.829,0.8,4.6,5.4,3.8,1.6,2.0,0.8,0.4,3.8,2.9,15.6,-1.8,34.6,0,0,33.5,6,7,5,9,12,5,4,6,1,3,2,7,8,1,12,9,11,4,11,9,1,8,9,4,4,9,6,3,1,5,264,2018-19,202697
317,By Year,2017-18,1610612739,CLE,2018-01-23T00:00:00,14,9,5,0.643,47.6,3.8,10.0,0.379,1.2,4.5,0.269,1.9,2.6,0.733,1.2,5.9,7.1,2.9,2.8,1.6,0.7,0.5,3.8,2.4,10.7,4.8,27.5,0,0,26.4,10,9,9,6,10,12,12,7,11,12,10,4,3,7,9,4,5,8,4,11,4,5,11,7,11,3,11,3,1,11,264,2017-18,202697
318,By Year,2016-17,1610612739,CLE,2017-04-12T00:00:00,76,48,28,0.632,49.4,5.1,12.5,0.411,2.4,6.7,0.36,1.8,2.3,0.789,1.0,4.6,5.6,2.8,2.0,1.6,0.7,0.3,3.8,2.7,14.5,1.1,30.1,0,0,29.7,1,1,2,7,7,6,9,1,5,6,3,5,5,3,10,10,9,9,9,10,5,9,10,5,6,6,8,3,1,8,264,2016-17,202697
319,By Year,2015-16,1610612739,CLE,2016-04-06T00:00:00,54,39,15,0.722,50.4,4.4,11.7,0.374,1.6,5.6,0.295,1.5,2.0,0.784,1.2,6.5,7.8,3.5,2.2,2.1,0.7,0.6,4.6,2.3,11.9,7.0,32.7,1,0,30.4,4,2,6,3,6,8,11,9,8,9,9,6,6,4,8,1,3,5,6,8,2,4,5,8,8,2,7,2,1,7,264,2015-16,202697
