,LEAGUE_ID,SEASON_ID,TEAM_ID,PTS_RANK,PTS_PG,REB_RANK,REB_PG,AST_RANK,AST_PG,OPP_PTS_RANK,OPP_PTS_PG
0,00,22021,1610612766,4,115.3,12,44.6,1,28.1,25,114.9
1,00,22020,1610612766,23,109.5,19,43.8,5,26.8,13,111.4
2,00,22021,1610612765,28,104.8,25,43.0,24,23.5,22,112.5
3,00,22020,1610612765,27,106.6,25,42.7,18,24.2,10,111.1
4,00,22021,1610612764,22,108.6,23,43.1,12,25.0,16,112.0
5,00,22020,1610612764,3,116.6,8,45.2,13,25.5,30,118.5
6,00,22021,1610612763,2,115.6,1,49.2,6,26.0,12,109.9
7,00,22020,1610612763,15,113.3,4,46.5,4,26.9,16,112.3
8,00,22021,1610612762,7,113.6,3,46.3,27,22.4,10,107.6
9,00,22020,1610612762,4,116.4,1,48.3,23,23.7,3,107.2
10,00,22021,1610612761,20,109.4,8,45.3,29,22.1,7,107.1
11,00,22020,1610612761,19,111.3,28,41.6,20,24.1,15,111.7
12,00,22021,1610612760,30,103.7,6,45.6,28,22.2,15,111.8
13,00,22020,1610612760,28,105.0,6,45.6,27,22.1,26,115.6
14,00,22021,1610612759,8,113.2,9,45.3,2,27.9,23,113.0
15,00,22020,1610612759,20,111.1,18,43.9,16,24.4,19,112.8
16,00,22021,1610612758,16,110.3,26,42.9,22,23.7,29,115.8
17,00,22020,1610612758,11,113.7,30,41.4,12,25.5,28,117.4
18,00,22021,1610612757,27,106.2,27,42.9,26,22.9,27,115.1
19,00,22020,1610612757,5,116.1,12,44.5,30,21.3,23,114.3
20,00,22021,1610612756,5,114.8,10,45.3,4,27.4,8,107.3
21,00,22020,1610612756,7,115.3,23,42.9,3,26.9,7,109.5
22,00,22021,1610612755,18,109.9,29,42.3,21,23.7,8,107.3
23,00,22020,1610612755,14,113.6,10,45.1,22,23.7,6,108.1
24,00,22021,1610612754,14,111.5,21,43.9,9,25.4,26,114.9
25,00,22020,1610612754,6,115.3,26,42.7,2,27.4,25,115.3
26,00,22021,1610612753,29,104.2,14,44.3,20,23.7,20,112.2
27,00,22020,1610612753,29,104.0,7,45.4,28,21.8,20,113.3
28,00,22021,1610612752,26,106.5,4,46.1,30,21.9,6,106.6
29,00,22020,1610612752,26,107.0,9,45.1,29,21.4,1,104.7
30,00,22021,1610612751,9,112.9,13,44.4,10,25.3,18,112.1
31,00,22020,1610612751,2,118.6,14,44.4,7,26.8,21,114.1
32,00,22021,1610612750,1,115.9,16,44.2,7,25.7,24,113.3
33,00,22020,1610612750,18,112.1,20,43.5,11,25.6,29,117.7
34,00,22021,1610612749,3,115.5,2,46.7,18,23.9,19,112.1
35,00,22020,1610612749,1,120.1,2,48.1,14,25.5,22,114.2
36,00,22021,1610612748,17,110.0,22,43.7,8,25.5,4,105.6
37,00,22020,1610612748,25,108.1,29,41.5,9,26.3,5,108.0
38,00,22021,1610612747,11,112.1,18,44.0,17,24.0,28,115.1
39,00,22020,1610612747,22,109.5,16,44.2,15,24.7,2,106.8
40,00,22021,1610612746,23,108.4,19,44.0,16,24.0,11,108.4
41,00,22020,1610612746,10,114.0,17,44.2,17,24.4,4,107.8
42,00,22021,1610612745,19,109.7,30,42.0,23,23.6,30,118.2
43,00,22020,1610612745,24,108.8,27,42.6,24,23.6,27,116.7
44,00,22021,1610612744,15,111.0,7,45.5,5,27.1,3,105.5
45,00,22020,1610612744,12,113.7,22,43.0,1,27.7,18,112.7
46,00,22021,1610612743,10,112.7,17,44.1,3,27.8,14,110.4
47,00,22020,1610612743,8,115.1,13,44.4,5,26.8,8,110.1
48,00,22021,1610612742,24,108.0,24,43.0,25,23.4,2,104.7
49,00,22020,1610612742,17,112.4,21,43.3,26,22.9,9,110.2
50,00,22021,1610612741,13,111.6,28,42.3,19,23.9,16,112.0
51,00,22020,1610612741,21,110.7,11,45.0,8,26.8,14,111.6
52,00,22021,1610612740,21,109.3,11,45.2,13,25.0,13,110.3
53,00,22020,1610612740,9,114.6,3,47.4,10,26.0,24,114.9
54,00,22021,1610612739,25,107.8,15,44.2,11,25.2,5,105.7
55,00,22020,1610612739,30,103.8,24,42.8,21,23.8,17,112.3
56,00,22021,1610612738,12,111.8,5,46.1,14,24.8,1,104.5
57,00,22020,1610612738,16,112.6,15,44.3,25,23.5,11,111.2
58,00,22021,1610612737,6,113.9,20,44.0,15,24.6,21,112.4
59,00,22020,1610612737,13,113.7,5,45.6,19,24.1,12,111.4
