,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,CFID,CFPARAMS,SEASON
0,1610612737,Atlanta Hawks,82,43,39,0.524,3941.0,0.543,0.253,0.12,0.269,0.543,0.224,0.129,0.269,1,16,16,16,30,8,11,1,17,24,6,28,12,10,Atlanta Hawks,2021-22
1,1610612738,Boston Celtics,82,51,31,0.622,3981.0,0.542,0.239,0.139,0.277,0.502,0.234,0.14,0.275,1,6,6,6,2,9,22,13,11,1,9,11,16,10,Boston Celtics,2021-22
2,1610612751,Brooklyn Nets,82,44,38,0.537,3951.0,0.54,0.246,0.141,0.281,0.521,0.255,0.133,0.296,1,14,14,14,19,11,18,18,9,9,20,21,30,10,Brooklyn Nets,2021-22
3,1610612766,Charlotte Hornets,82,43,39,0.524,3976.0,0.544,0.234,0.131,0.27,0.544,0.246,0.148,0.294,1,16,16,16,3,7,24,9,14,25,11,5,29,10,Charlotte Hornets,2021-22
4,1610612741,Chicago Bulls,82,46,36,0.561,3946.0,0.541,0.248,0.13,0.249,0.541,0.251,0.132,0.265,1,12,12,12,24,10,17,6,28,22,16,23,7,10,Chicago Bulls,2021-22
5,1610612739,Cleveland Cavaliers,82,44,38,0.537,3946.0,0.538,0.261,0.148,0.277,0.52,0.223,0.138,0.276,1,14,14,14,24,14,7,27,12,5,5,13,18,10,Cleveland Cavaliers,2021-22
6,1610612742,Dallas Mavericks,82,52,30,0.634,3951.0,0.538,0.249,0.13,0.256,0.521,0.241,0.136,0.267,1,5,5,5,19,13,14,7,23,6,10,17,10,10,Dallas Mavericks,2021-22
7,1610612743,Denver Nuggets,82,48,34,0.585,3961.0,0.556,0.244,0.146,0.268,0.537,0.249,0.129,0.248,1,10,10,10,8,1,20,26,19,20,12,26,1,10,Denver Nuggets,2021-22
8,1610612765,Detroit Pistons,82,23,59,0.28,3956.0,0.494,0.249,0.143,0.276,0.541,0.292,0.147,0.293,1,28,28,28,13,30,15,20,13,23,30,6,26,10,Detroit Pistons,2021-22
9,1610612744,Golden State Warriors,82,53,29,0.646,3946.0,0.552,0.235,0.15,0.269,0.509,0.265,0.147,0.264,1,3,3,3,24,3,23,29,15,2,26,7,6,10,Golden State Warriors,2021-22
10,1610612745,Houston Rockets,82,20,62,0.244,3951.0,0.534,0.284,0.162,0.265,0.554,0.263,0.139,0.29,1,30,30,30,19,17,1,30,20,29,25,12,25,10,Houston Rockets,2021-22
11,1610612754,Indiana Pacers,82,25,57,0.305,3976.0,0.531,0.239,0.145,0.31,0.552,0.256,0.133,0.275,1,26,26,26,3,20,21,24,3,28,21,20,17,10,Indiana Pacers,2021-22
