,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,CFID,CFPARAMS,SEASON
627,203076,Anthony Davis,Anthony,1610612747,LAL,28.0,36,23,13,0.639,32.3,2.8,2.5,1.8,11.7,10.6,7.1,8.8,32.4,1.6,0.7,1.7,4.9,42.6,346,234,137,117,58,52,27,84,12,462,387,492,50,8,449,277,20,23,5,"203076,1610612747",2020-21
628,1630162,Anthony Edwards,Anthony,1610612750,MIN,19.0,72,23,49,0.319,32.1,3.0,1.5,2.2,8.4,11.3,9.8,10.4,34.1,0.5,0.9,1.8,2.6,32.0,1,234,536,445,60,40,118,60,51,497,521,536,29,149,499,316,91,70,5,"1630162,1610612750",2020-21
629,1630264,Anthony Gill,Anthony,1610612764,WAS,28.0,26,11,15,0.423,8.4,0.5,0.7,0.1,1.8,3.4,2.0,1.3,7.8,0.2,0.2,1.0,0.6,7.4,406,398,163,363,463,444,337,495,375,100,62,33,463,393,132,127,419,444,5,"1630264,1610612764",2020-21
630,1630237,Anthony Lamb,Anthony,1610612745,HOU,23.0,24,3,21,0.125,17.3,0.3,1.0,0.3,1.9,5.5,3.5,3.8,20.8,0.2,0.3,1.4,1.0,11.1,417,482,258,525,321,485,238,428,357,193,142,168,242,339,231,198,298,376,5,"1630237,1610612745",2020-21
631,201229,Anthony Tolliver,Anthony,1610612755,PHI,36.0,11,7,4,0.636,9.0,0.5,0.3,0.0,0.0,2.6,1.8,1.6,6.2,0.2,0.0,0.6,0.4,4.0,479,445,40,120,455,448,463,498,527,69,53,48,483,364,1,55,480,507,5,"201229,1610612755",2020-21
632,1628394,Anzejs Pasecniks,Anzejs,1610612764,WAS,25.0,1,1,0,1.0,6.3,0.0,0.0,0.0,0.0,7.0,2.0,4.0,14.0,0.0,0.0,2.0,0.0,-2.3,537,515,1,1,489,508,510,498,527,289,62,184,382,495,1,367,527,540,5,"1628394,1610612764",2020-21
633,1629717,Armoni Brooks,Armoni,1610612745,HOU,23.0,20,3,17,0.15,26.0,1.8,0.9,0.9,1.7,9.6,7.8,7.0,30.4,0.3,0.3,1.7,0.5,18.9,435,482,182,523,160,142,275,246,382,409,441,392,81,308,239,291,446,221,5,"1629717,1610612745",2020-21
634,203382,Aron Baynes,Aron,1610612761,TOR,34.0,53,20,33,0.377,18.5,0.8,1.3,0.2,3.6,6.1,5.1,4.9,15.8,0.4,0.3,2.2,1.0,15.0,208,279,454,407,297,377,170,468,226,232,249,259,349,193,223,427,323,308,5,"203382,1610612761",2020-21
635,1630204,Ashton Hagans,Ashton,1610612750,MIN,21.0,2,0,2,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,-0.5,532,531,15,531,538,508,510,498,527,7,5,1,534,495,1,1,527,538,5,"1630204,1610612750",2020-21
636,203085,Austin Rivers,Austin,1610612743,DEN,28.0,36,20,16,0.556,23.5,1.8,0.6,0.8,2.4,7.4,6.4,4.9,21.0,0.1,0.4,1.8,0.9,15.7,346,279,170,193,204,142,365,272,310,313,346,265,240,472,309,311,332,289,5,"203085,1610612743",2020-21
