,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,CFID,CFPARAMS,PLAYER_ID
3091,By Year,2020-21,-1,TOT,2021-05-15T00:00:00,42,18,24,0.429,1259.0033333333333,7.1,15.5,0.457,3.3,8.1,0.413,3.1,3.9,0.788,0.3,3.4,3.7,4.1,2.1,1.3,0.5,0.8,2.7,3.1,20.6,-1.0,34.7,0,0,35.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2020-21,203095
3092,By Year,2020-21,1610612738,BOS,2021-05-15T00:00:00,16,6,10,0.375,472.4166666666667,5.9,13.1,0.448,3.4,7.2,0.463,0.8,1.1,0.714,0.4,3.7,4.0,3.7,1.4,1.5,0.8,0.5,3.1,1.1,15.9,3.4,31.7,0,0,31.5,11,11,11,8,10,9,7,6,2,4,1,11,11,10,9,2,2,3,11,2,1,11,4,11,9,2,3,3,1,4,264,2020-21,203095
3093,By Year,2020-21,1610612753,ORL,2021-03-24T00:00:00,26,12,14,0.462,786.5866666666667,7.8,16.9,0.461,3.3,8.6,0.388,4.5,5.6,0.797,0.2,3.2,3.4,4.3,2.5,1.2,0.4,1.0,2.5,4.3,23.4,-3.6,36.5,0,0,37.8,10,10,9,3,9,1,1,4,3,2,6,1,1,6,11,3,5,1,2,4,2,3,10,1,1,11,1,3,1,1,264,2020-21,203095
3094,By Year,2019-20,1610612753,ORL,2020-08-07T00:00:00,66,28,38,0.424,2075.64,7.5,16.1,0.467,3.0,7.5,0.399,3.1,3.8,0.818,0.3,2.7,3.0,3.6,2.2,1.2,0.3,0.5,2.8,3.1,21.2,-1.4,32.5,0,0,33.8,6,5,7,6,5,2,2,2,4,3,4,3,3,3,10,10,10,5,6,5,5,9,7,3,2,6,2,3,1,2,264,2019-20,203095
3095,By Year,2018-19,1610612753,ORL,2019-04-10T00:00:00,81,42,39,0.519,2553.2816666666668,6.6,15.1,0.438,2.2,6.3,0.34,1.9,2.4,0.806,0.5,3.1,3.6,4.2,2.2,1.0,0.2,0.7,3.2,2.4,17.3,1.3,29.2,1,0,29.6,1,1,5,2,2,4,4,9,7,6,11,9,9,4,4,4,3,2,5,8,6,8,3,9,5,3,5,1,1,7,264,2018-19,203095
3096,By Year,2017-18,1610612753,ORL,2018-03-07T00:00:00,57,20,37,0.351,1837.215,7.2,15.7,0.459,2.5,6.6,0.379,2.9,3.4,0.867,0.5,3.1,3.5,3.2,1.9,0.9,0.3,0.9,2.7,2.7,19.8,-2.3,30.8,0,0,31.6,8,8,8,9,6,3,3,5,5,5,7,4,4,1,8,5,4,7,8,9,3,5,9,7,3,7,4,3,1,3,264,2017-18,203095
3097,By Year,2016-17,1610612753,ORL,2017-04-12T00:00:00,68,23,45,0.338,2233.661666666667,6.6,15.0,0.439,2.1,5.8,0.356,3.6,4.5,0.805,0.7,2.7,3.4,3.3,2.3,1.1,0.1,1.0,2.9,3.4,18.8,-3.1,28.8,1,0,29.8,5,7,2,10,4,5,5,8,9,7,10,2,2,5,2,9,6,6,4,7,9,2,6,2,4,9,6,1,1,5,264,2016-17,203095
3098,By Year,2015-16,1610612753,ORL,2016-04-13T00:00:00,79,33,46,0.418,2566.088333333333,6.0,13.0,0.462,2.2,5.5,0.4,2.8,3.3,0.836,0.5,2.7,3.2,3.0,1.9,1.3,0.0,1.0,3.0,3.0,17.0,-2.7,27.6,0,0,28.1,3,4,1,7,1,8,8,3,6,9,3,5,5,2,7,7,9,8,7,3,11,4,5,4,7,8,9,3,1,9,264,2015-16,203095
3099,By Year,2014-15,1610612753,ORL,2015-04-10T00:00:00,58,19,39,0.328,1661.16,5.5,12.5,0.44,1.8,4.9,0.378,2.3,3.2,0.728,0.6,2.7,3.3,2.6,1.8,0.9,0.0,0.8,2.5,2.8,15.1,-3.2,24.0,0,0,24.7,7,9,5,11,7,10,11,7,11,10,8,7,7,9,3,6,7,11,9,10,10,6,11,5,11,10,11,3,1,11,264,2014-15,203095
3100,By Year,2013-14,1610612743,DEN,2014-04-16T00:00:00,76,35,41,0.461,1503.48,5.5,13.0,0.419,2.1,5.7,0.376,2.2,2.9,0.756,0.8,4.0,4.8,2.7,2.4,0.8,0.2,0.7,4.3,2.6,15.3,0.2,25.7,0,0,26.9,4,3,4,4,8,11,9,10,8,8,9,8,8,8,1,1,1,9,3,11,7,7,2,8,10,4,10,3,1,10,264,2013-14,203095
3101,By Year,2012-13,1610612743,DEN,2013-04-17T00:00:00,38,25,13,0.658,428.27,6.3,12.8,0.493,1.8,4.5,0.407,2.5,3.3,0.769,0.5,2.4,2.9,3.7,2.7,1.6,0.1,1.8,5.5,2.7,17.0,5.0,28.4,0,0,28.8,9,6,10,1,11,6,10,1,10,11,2,6,6,7,6,11,11,4,1,1,8,1,1,6,8,1,7,3,1,8,264,2012-13,203095
3102,By Year,2021-22,1610612742,DAL,2021-12-03T00:00:00,4,1,3,0.25,17.816666666666666,4.0,10.1,0.4,2.0,4.0,0.5,4.0,8.1,0.5,4.0,10.1,14.1,4.0,0.0,0.0,0.0,0.0,4.0,4.0,14.1,6.1,37.2,0,0,34.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2021-22,1630647
3103,By Year,2021-22,1610612762,UTA,2022-04-10T00:00:00,58,36,22,0.621,736.5066666666667,5.6,11.5,0.485,2.0,5.3,0.37,3.2,4.2,0.767,1.5,3.7,5.2,1.8,1.3,0.4,0.2,1.1,2.5,2.9,16.3,-1.4,25.9,0,0,26.6,2,1,2,1,2,3,3,3,1,1,1,3,3,2,2,3,3,3,3,3,3,3,3,3,3,1,3,2,1,3,264,2021-22,1629672
3104,By Year,2020-21,1610612744,GSW,2021-05-14T00:00:00,40,20,20,0.5,695.0166666666667,7.7,15.4,0.497,0.9,2.8,0.333,3.5,4.9,0.713,1.5,5.2,6.6,2.6,2.2,0.6,0.4,1.3,3.5,4.1,19.7,-5.9,32.4,0,0,31.9,3,2,3,2,3,1,1,2,2,3,2,2,1,3,3,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,264,2020-21,1629672
3105,By Year,2019-20,1610612744,GSW,2020-03-10T00:00:00,60,14,46,0.233,1653.795,6.9,13.9,0.497,0.8,2.8,0.287,3.6,4.6,0.774,1.8,4.2,6.0,2.8,2.0,0.7,0.3,1.2,2.7,3.6,18.2,-8.2,30.4,4,0,29.7,1,3,1,3,1,2,2,1,3,2,3,1,2,1,1,2,2,1,2,1,2,2,2,2,2,3,2,1,1,2,264,2019-20,1629672
3106,By Year,2021-22,1610612745,HOU,2022-03-25T00:00:00,57,19,38,0.333,1669.53,5.8,12.2,0.475,2.7,6.5,0.412,2.3,2.9,0.778,0.3,2.1,2.4,3.3,2.3,0.6,0.4,0.5,1.4,2.2,16.5,-3.8,25.1,0,0,26.9,8,9,3,12,9,10,13,1,7,7,2,12,11,11,9,11,12,6,7,14,8,14,14,12,13,12,14,3,1,13,264,2021-22,201569
3107,By Year,2020-21,1610612745,HOU,2021-03-11T00:00:00,27,10,17,0.37,788.7133333333334,7.3,16.8,0.433,3.1,9.6,0.329,4.3,5.2,0.825,0.4,2.3,2.6,3.2,2.3,0.6,0.6,0.9,2.0,3.8,22.0,-3.1,31.4,0,0,33.5,13,13,11,11,13,3,1,7,5,5,11,4,4,6,8,6,8,7,5,13,2,7,9,6,1,10,3,3,1,1,264,2020-21,201569
3108,By Year,2019-20,1610612745,HOU,2020-08-14T00:00:00,36,21,15,0.583,1016.205,6.1,16.4,0.369,3.4,10.7,0.317,2.9,3.8,0.766,0.3,2.2,2.5,1.9,1.5,0.8,0.5,1.0,2.5,3.1,18.4,0.1,26.6,0,0,28.8,12,8,12,5,12,9,3,14,4,1,13,9,9,12,10,7,10,14,13,9,5,4,2,9,7,6,9,3,1,8,264,2019-20,201569
